T0 T dT P dP E dE
425 122.736 0.0424047 0.000114357 3.66238e-06 -56.2311 6.57507e-05
430 123.235 0.0401851 0.000124533 3.55107e-06 -54.1169 6.51704e-05
435 123.301 0.04192 8.96043e-05 3.47975e-06 -51.8578 6.55741e-05
440 124.388 0.0417149 0.000140559 3.58323e-06 -49.7885 6.4092e-05
445 127.344 0.0390103 0.000160729 3.47775e-06 -47.6017 6.57638e-05
450 126.288 0.046949 0.000155618 3.5704e-06 -45.4227 6.67447e-05
455 129.078 0.0460401 0.000213887 3.46325e-06 -43.324 6.55478e-05
460 128.53 0.0433598 0.000203267 3.53842e-06 -41.1706 6.59792e-05
465 131.413 0.0427866 0.000275181 3.4949e-06 -39.0049 6.6618e-05
470 130.372 0.0429615 0.000246399 3.48121e-06 -36.836 6.5652e-05
475 130.748 0.0452526 0.000231928 3.37315e-06 -34.7723 6.40731e-05
480 132.5 0.0457109 0.000283721 3.26949e-06 -32.562 6.42891e-05
485 131.344 0.0501138 0.000222356 3.39455e-06 -30.4243 6.4239e-05
490 138.217 0.0480741 0.000415502 3.52626e-06 -28.2815 6.94091e-05
495 136.942 0.0459473 0.000367773 3.23939e-06 -26.0433 6.52654e-05
500 136.597 0.0471585 0.000375987 3.27762e-06 -24.027 6.44701e-05
505 137.217 0.0423328 0.000376488 3.229e-06 -21.901 6.27349e-05
510 140.91 0.0435364 0.000463116 3.29753e-06 -19.6574 6.61872e-05
515 143.054 0.0369538 0.000500753 3.16669e-06 -17.4776 6.43251e-05
520 144.091 0.0349343 0.000548264 3.12165e-06 -15.3458 6.39323e-05
525 148.93 0.0427508 0.000678084 3.24147e-06 -13.2651 6.83513e-05
530 151.472 0.0376221 0.000711074 3.21733e-06 -11.065 6.78606e-05
535 154.583 0.0382263 0.000797178 3.14328e-06 -9.05321 6.83989e-05
540 157.363 0.0335535 0.000896106 3.19215e-06 -6.78887 7.18727e-05
545 160.37 0.0320974 0.000961714 3.24772e-06 -4.69688 7.05807e-05
550 164.389 0.034334 0.00104843 3.17274e-06 -2.52139 7.3394e-05
555 168.488 0.0338858 0.00116194 3.27306e-06 -0.34028 7.70442e-05
560 172.098 0.0318161 0.00125112 3.22693e-06 1.79753 7.79449e-05
565 176.875 0.0320849 0.00138498 3.31281e-06 3.99788 8.10651e-05
570 179.446 0.0305705 0.00145718 3.28408e-06 6.10247 8.35272e-05
575 184.036 0.0308033 0.00157637 3.35054e-06 8.23064 8.64971e-05
580 188.653 0.0328238 0.00167933 3.39832e-06 10.3909 9.11354e-05
585 192.773 0.0315494 0.00177492 3.40035e-06 12.5873 9.22623e-05
590 196.515 0.0320376 0.00185629 3.43963e-06 14.7233 9.69302e-05
595 200.605 0.0299331 0.00201761 3.48912e-06 16.8454 0.000100306
600 204.698 0.0319098 0.00210596 3.52117e-06 18.9882 0.000104175
605 209.178 0.0320505 0.00221269 3.44189e-06 21.1341 0.000108842
610 213.352 0.0315693 0.00231579 3.56396e-06 23.3554 0.000109294
615 218.404 0.0326427 0.00247089 3.62829e-06 25.4998 0.000115846
620 221.538 0.0321334 0.00254285 3.67094e-06 27.6134 0.000117496
625 226.3 0.0323631 0.00264263 3.76752e-06 29.7799 0.000121388
