T0 T dT P dP E dE
120 58.8426 0.0274175 -8.44612e-05 4.66289e-06 -1418.51 0.00168557
124 60.0377 0.0325468 -6.49534e-05 6.55955e-06 -1406.42 0.00183829
128 61.2647 0.0281042 -2.11018e-05 3.49455e-06 -1394.67 0.00158141
132 62.5403 0.0358638 -1.02086e-05 7.34232e-06 -1382.51 0.00199145
136 64.1626 0.0346339 3.44654e-05 6.12887e-06 -1370.52 0.00202702
140 65.7837 0.0382991 7.82213e-05 7.76766e-06 -1358.48 0.00219425
144 66.0358 0.0345432 6.36596e-05 6.25646e-06 -1346.49 0.00201147
148 67.0911 0.0369274 5.19026e-05 5.93419e-06 -1334.68 0.00209978
152 68.3945 0.0359871 8.61007e-05 4.93171e-06 -1322.49 0.00198278
156 69.7013 0.0355795 0.000104906 3.65153e-06 -1310.57 0.00187082
160 69.8183 0.034717 8.49774e-05 3.72565e-06 -1298.51 0.001981
164 71.8516 0.0399788 0.000139248 6.08011e-06 -1286.67 0.00218774
168 73.3502 0.0376636 0.000193451 5.11478e-06 -1274.87 0.00215017
172 73.8316 0.0383803 0.000180928 4.43392e-06 -1262.55 0.00212244
176 73.3388 0.0425504 0.000130089 5.88302e-06 -1250.49 0.00228278
180 74.7677 0.0466902 0.000136434 6.3367e-06 -1238.49 0.00238893
184 74.5009 0.039379 0.000135433 4.46461e-06 -1226.59 0.00211694
188 74.8126 0.0351169 0.000113374 3.76898e-06 -1214.58 0.00206936
192 74.4193 0.0410703 0.000105678 3.79608e-06 -1202.44 0.00214348
196 74.9442 0.0416404 8.11728e-05 5.11329e-06 -1190.35 0.00228873
200 75.5727 0.0503729 8.50704e-05 5.83525e-06 -1178.53 0.00242746
204 76.4659 0.0407722 0.000105224 3.97071e-06 -1166.58 0.00219665
208 75.5716 0.0390081 6.20642e-05 4.24088e-06 -1154.44 0.00212725
212 76.2456 0.0387745 4.21615e-05 4.8261e-06 -1142.56 0.00219951
216 76.9429 0.0436489 6.02676e-05 4.96533e-06 -1130.63 0.00228489
220 69.9183 0.0332964 -0.000139025 4.30875e-06 -1118.06 0.00188823
224 71.1862 0.0309241 -0.00012115 3.62074e-06 -1106.3 0.00197238
228 71.69 0.0344841 -0.000176687 4.09346e-06 -1094.34 0.00199419
232 73.2389 0.0340292 -0.000107621 4.38772e-06 -1082.28 0.00197973
236 74.0782 0.0331986 -0.000138733 3.67823e-06 -1070.18 0.00193252
240 75.2973 0.0375061 -7.57572e-05 4.07074e-06 -1058.42 0.00212284
244 76.0609 0.0343786 -0.000166324 4.01258e-06 -1046.38 0.00208539
248 77.8415 0.0384746 -0.000117137 4.30575e-06 -1034.32 0.00212334
252 78.7371 0.0453357 -0.00010735 4.91506e-06 -1022.36 0.00224136
256 79.8978 0.0471561 -0.000118882 6.61439e-06 -1010.25 0.00257819
260 80.7963 0.0453354 -0.000122267 5.75661e-06 -998.294 0.0023954
264 82.0673 0.0446641 -0.000120782 4.38104e-06 -986.279 0.00228289
268 82.5797 0.0431345 -0.000118149 4.98358e-06 -974.277 0.00233944
272 83.4947 0.0437393 -0.000112739 4.81076e-06 -961.911 0.00233022
276 84.5947 0.0573733 -0.000125269 7.11808e-06 -950.15 0.00274965
280 86.2144 0.0475865 -0.000116869 6.03487e-06 -938.408 0.00258033
